State,All Other Covered Animals,Cats,Dogs,Guinea Pigs,Hamsters,Nonhuman Primates,Other Farm Animals,Pig,Rabbits,Sheep,Total
AK,0,0,0,0,0,0,0,0,0,0,0
AL,60,0,0,0,12,0,0,0,274,0,346
AR,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,0,0,0,0,0,0,0,0
CA,325,0,0,558,109,0,0,0,"1,058",0,"2,050"
CO,195,0,0,226,74,0,0,12,2,21,530
CT,3,0,10,0,477,26,0,0,2,0,518
DC,0,0,0,274,0,0,0,0,0,0,274
DE,0,0,0,0,0,0,0,0,0,0,0
FL,177,0,6,418,0,0,0,11,0,0,612
GA,174,4,23,0,"1,869",0,0,0,"2,720",0,"4,790"
HI,0,0,0,0,77,0,0,0,0,0,77
IA,0,0,0,80,"4,997",0,0,0,4,6,"5,087"
ID,0,0,0,0,0,0,0,0,0,0,0
IL,384,0,8,3,45,19,0,255,3,0,717
IN,25,0,0,84,"3,393",0,0,0,0,0,"3,502"
KS,0,0,0,0,0,0,0,0,0,0,0
KY,0,0,0,0,0,0,0,0,0,0,0
LA,0,0,0,0,0,0,0,0,0,0,0
MA,185,0,0,"3,611",261,50,0,146,122,0,"4,375"
MD,177,0,9,"1,701",414,422,0,230,185,0,"3,138"
ME,0,0,0,0,0,0,0,0,0,0,0
MI,12,2,0,"10,673",0,11,0,17,0,37,"10,752"
MN,11,0,0,217,0,0,0,1,3,2,234
MO,41,0,256,"1,021","15,034",0,0,0,20,0,"16,372"
MS,15,0,0,0,0,0,0,0,0,0,15
MT,0,0,0,0,0,0,0,0,0,0,0
NC,64,0,18,328,0,12,0,0,0,0,422
ND,0,0,0,0,0,0,0,0,0,0,0
NE,0,0,0,0,0,0,0,0,0,16,16
NH,0,0,0,0,0,0,0,0,0,0,0
NJ,0,0,144,"2,941","5,392",26,107,6,576,0,"9,192"
NM,40,0,150,210,0,0,0,12,0,0,412
NV,0,0,0,0,0,0,0,0,0,0,0
NY,251,0,104,773,1,31,2,30,90,6,"1,288"
OH,57,14,0,766,106,342,0,14,84,0,"1,383"
OK,67,0,0,0,0,0,0,0,387,0,454
OR,4,0,0,0,0,0,0,0,0,0,4
PA,0,0,0,71,0,18,0,"1,274",72,0,"1,435"
PR,0,0,0,0,0,0,0,0,0,0,0
RI,0,0,0,0,0,0,0,0,0,0,0
SC,0,0,0,0,52,0,0,0,0,0,52
SD,46,0,0,60,0,0,0,121,0,0,227
TN,305,0,0,6,12,0,0,45,0,0,368
TX,282,0,0,491,426,315,0,0,169,5,"1,688"
UT,0,0,0,54,529,0,0,0,0,0,583
VA,0,0,11,0,0,0,0,0,0,0,11
VT,0,0,0,0,0,0,0,0,0,0,0
WA,10,0,0,0,0,0,0,0,0,0,10
WI,436,0,0,0,0,0,0,0,0,0,436
WV,0,0,0,0,0,0,0,0,0,0,0
WY,0,0,0,0,0,0,0,0,0,0,0
